"Database";"Description";"pvalue"
"GO_BP";"chloride transport";1,05361441487754e-05
"GO_BP";"inorganic anion transport";1,51305851643734e-05
"GO_BP";"inorganic anion transmembrane transport";6,87310888009282e-05
"GO_BP";"chloride transmembrane transport";6,89288245535232e-05
"GO_BP";"negative regulation of growth";0,000103080841531054
"GO_BP";"oxalate transport";0,000125764410205243
"GO_BP";"response to toxic substance";0,000222360582243178
"GO_BP";"monoatomic anion transport";0,000249459201057163
"GO_BP";"humoral immune response";0,000350186313273361
"GO_BP";"antimicrobial humoral response";0,000405545136168889
"GO_BP";"detoxification of copper ion";0,000429288873272186
"GO_BP";"stress response to copper ion";0,000429288873272186
"GO_BP";"negative regulation of cell projection organization";0,000607462994263247
"GO_BP";"high-density lipoprotein particle clearance";0,000695505881741076
"GO_BP";"monoatomic anion transmembrane transport";0,000863740185107973
"GO_BP";"regulation of developmental growth";0,000875844288764382
"GO_BP";"response to organophosphorus";0,000912988713595425
"GO_BP";"negative regulation of neuron projection development";0,00108921904420582
"GO_BP";"stress response to metal ion";0,00128689685496441
"GO_BP";"antimicrobial humoral immune response mediated by antimicrobial peptide";0,00129233184763418
"KEGG";"Mineral absorption";0,0018721517803534
"KEGG";"Alanine, aspartate and glutamate metabolism";0,00777442668214485
"KEGG";"Mismatch repair";0,0125175004470449
"KEGG";"Glyoxylate and dicarboxylate metabolism";0,0280496649539394
"KEGG";"TGF-beta signaling pathway";0,0306497315159751
"KEGG";"Salivary secretion";0,0491792876006827
"KEGG";"Selenocompound metabolism";0,050318583612577
"KEGG";"Glycine, serine and threonine metabolism";0,05701960350296
"KEGG";"Nicotine addiction";0,05701960350296
"KEGG";"MAPK signaling pathway";0,0577987611002255
"KEGG";"Cytoskeleton in muscle cells";0,0630830565423014
"KEGG";"PPAR signaling pathway";0,079898116425804
"KEGG";"Calcium signaling pathway";0,0956547182750076
"KEGG";"Cholesterol metabolism";0,0999909151045549
"KEGG";"Carbon metabolism";0,103476283194569
"KEGG";"Fanconi anemia pathway";0,108887773753567
"KEGG";"Arrhythmogenic right ventricular cardiomyopathy";0,112709870665882
"KEGG";"Sphingolipid metabolism";0,11344767133319
"KEGG";"Glycosphingolipid biosynthesis - lacto and neolacto series";0,120237791453023
"KEGG";"ECM-receptor interaction";0,123559900607426
"KEGG";"GABAergic synapse";0,123559900607426
"Reactome";"Termination of O-glycan biosynthesis";2,75989034167751e-05
"Reactome";"Defective GALNT3 causes HFTC";6,20658644400108e-05
"Reactome";"Defective GALNT12 causes CRCS1";6,20658644400108e-05
"Reactome";"Defective C1GALT1C1 causes TNPS";8,25184023079313e-05
"Reactome";"Metallothioneins bind metals";0,000110222781122027
"Reactome";"Response to metal ions";0,000315049658069553
"Reactome";"Diseases of metabolism";0,000448332474202872
"Reactome";"Dectin-2 family";0,000579954567024863
"Reactome";"ECM proteoglycans";0,000600776806365674
"Reactome";"Surfactant metabolism";0,000686601903465309
"Reactome";"Diseases of glycosylation";0,00103122451334011
"Reactome";"Scavenging by Class A Receptors";0,00110521913158074
"Reactome";"Glyoxylate metabolism and glycine degradation";0,00110521913158074
"Reactome";"Diseases associated with O-glycosylation of proteins";0,00163406065046386
"Reactome";"Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)";0,00459768115226329
"Reactome";"O-linked glycosylation of mucins";0,0055826519085628
"Reactome";"Kidney development";0,00560999799562532
"Reactome";"Mismatch Repair";0,00564180167837534
"Reactome";"SLC-mediated transport of inorganic anions";0,0109162905796734
"Reactome";"O-linked glycosylation";0,0137655824388799
